entry,dist,date,feedname,feed,title
USAToday|7786,0.8681288997065444,2015-11-18,USAToday,7,Cruz to Obama: 'Insult me to my face'
StLouisPost|16815,0.809165798125462,2015-11-18,StLouisPost,6,Obama vows to veto bill increasing screening for refugees
ChicagoTribune|5493,0.6173745337692985,2015-11-20,ChicagoTribune,1,Prosecutors: 3rd body found at scene of raid in Paris suburb
LATimes|20092,0.8328725259694292,2015-11-20,LATimes,3,Obama aide tells of her own childhood flight from government detention camp
WashingtonPost|6027,0.6059241739503408,2015-11-18,WashingtonPost,9,How repurposed collectors' rifles might have been used in the Paris attacks
LATimes|19220,0.7575034503880582,2015-11-16,LATimes,3,Russia's grand plan to modernize navy is tripped up by economy
USAToday|7845,0.8824150736164293,2015-11-19,USAToday,7,More Mexicans leave than enter USA in historic shift
NYTimes|5403,0.6731277251192881,2015-11-18,NYTimes,5,First Draft: Jeb Bush Calls for Global Coalition and U.S. Ground Troops to Fight ISIS
BostonHerald|14852,0.9235671518417509,2015-11-14,BostonHerald,0,Peterson: Ayanna’s right choice to lead Hub City Council
USAToday|7764,0.6599380653416198,2015-11-18,USAToday,7,Islamic State claims to kill 2 hostages; reveals photo of Russian bomb
LATimes|19153,0.7865141144717896,2015-11-15,LATimes,3,"In debate after Paris attack, Hillary Clinton finds foreign policy a strength"
NYPost|16263,0.9554185673492182,2015-11-20,NYPost,4,Investors bid up Valeant stock nearly 16 percent
BostonHerald|15725,0.867826734679245,2015-11-20,BostonHerald,0,Ben Carson calls for a database on &#039;every foreigner&#039;
NYTimes|5286,0.7922262785212313,2015-11-15,NYTimes,5,First Draft: Jeb Bush Says U.S. ‘Should Declare War’ in Fight Against Islamic State
WashingtonPost|6089,0.7045835314858633,2015-11-19,WashingtonPost,9,What’s actually driving Obama’s ‘keep-calm-and-carry-on’ ISIS strategy?
WallStreetJournal|2295,0.7370568323939778,2015-11-18,WallStreetJournal,8,Islamic State Tunnels Found in Iraq
StLouisPost|17036,0.9730285052554134,2015-11-20,StLouisPost,6,Congress buys more time to pass a transportation bill
WashingtonPost|5895,0.6970463121465453,2015-11-16,WashingtonPost,9,Aircraft carrier U.S.S. Harry S. Truman headed to fight Islamic State
StLouisPost|16801,0.9220821302593232,2015-11-18,StLouisPost,6,United Auto Workers gets OK for union vote at Tenn. plant
NYPost|15629,0.7710649141465182,2015-11-15,NYPost,4,Drone strike kills 12 Taliban members: official
DailyNews|13923,0.9404087118159205,2015-11-18,DailyNews,2,Sen. Marco Rubio signs on to reauthorize Zadroga Act
StLouisPost|16438,0.8744936367985473,2015-11-16,StLouisPost,6,Delaware panel approves $10.5M in grants to JPMorgan
LATimes|19643,0.8197929255442583,2015-11-18,LATimes,3,Los Angeles bid officials to meet with Olympic leaders in Switzerland
WallStreetJournal|2303,0.6810400094553019,2015-11-19,WallStreetJournal,8,Obama Says Syrian Leader Bashar al-Assad Must Go
LATimes|19215,0.8515563164939282,2015-11-16,LATimes,3,Goal of the Manhattan Project historical park is to 'remember and learn from' nation's nuclear achievements
BostonHerald|15727,0.826801912940948,2015-11-20,BostonHerald,0,Gov. Baker declines to sign GOP letter on Syrian refugees
DailyNews|13795,0.8962349065371592,2015-11-16,DailyNews,2,King: Excluding refugees based on faith isn't very Christian
NYTimes|5369,0.8425865623440629,2015-11-17,NYTimes,5,Greece and Eurozone Creditors in Deal to Unlock $13 Billion
USAToday|7641,0.7404432884714345,2015-11-16,USAToday,7,"Trade, tensions with China mark Obama visit to Asia"
LATimes|19060,0.6794163465068042,2015-11-14,LATimes,3,U.S. drone strike targets top Islamic State leader in Libya
StLouisPost|16825,0.8932935731243021,2015-11-18,StLouisPost,6,Refugee flap overtakes state issues in La. governor's race
WashingtonPost|6086,0.7957832475264952,2015-11-19,WashingtonPost,9,"As it combats the Islamic State, Pentagon looks to assemble the force of the future"
StLouisPost|16507,0.9803467704946527,2015-11-17,StLouisPost,6,"Bill clears House to curb pay of CEOs of Fannie, Freddie"
DailyNews|14007,0.635965795853948,2015-11-18,DailyNews,2,Daesh: The word ISIS doesn't want you to say
WallStreetJournal|2206,0.6789563136902261,2015-11-14,WallStreetJournal,8,Paris Attacks Deepen Debate About Migration Crisis in Europe; Critics Reassert Security Concerns
BostonHerald|15466,0.9852283593900935,2015-11-18,BostonHerald,0,Massachusetts House approves solar &quot;net metering&quot; bill
StLouisPost|16213,0.7088900881562412,2015-11-14,StLouisPost,6,Past extremist attacks in Western Europe
WallStreetJournal|2247,0.6551170368618209,2015-11-16,WallStreetJournal,8,Islamic State Teaches Tech Savvy
WashingtonPost|5937,0.6388334322716321,2015-11-17,WashingtonPost,9,ISIS wants you to hate Muslims
WallStreetJournal|2254,0.7566278904726872,2015-11-17,WallStreetJournal,8,Russia Says Bomb Brought Down Plane in Egypt
NYTimes|5245,0.7087103259328512,2015-11-14,NYTimes,5,Republican Candidates Urge Aggressive Response After Paris Attacks
StLouisPost|16655,0.8623787337625782,2015-11-17,StLouisPost,6,Bush open to letting in properly vetted Syrian Muslims
USAToday|7543,0.7361544018862888,2015-11-14,USAToday,7,Muslims strongly condemn Paris terror attacks
BostonHerald|14936,0.7022377620169662,2015-11-14,BostonHerald,0,Turkey: Soldiers kill 4 suspected militants day before G-20
WallStreetJournal|2340,0.9186214940214695,2015-11-20,WallStreetJournal,8,Argentine Front-Runner Forged Career in Soccer
BostonHerald|15204,0.7294269255732415,2015-11-16,BostonHerald,0,Anti-migrant mood deepens in Central Europe after Paris
DailyNews|13760,0.7972147123329105,2015-11-16,DailyNews,2,Obama blasts critical of his policy on Syrian refugees
StLouisPost|16309,0.8182060540228184,2015-11-15,StLouisPost,6,Terrorism takes center stage at Democratic debate
StLouisPost|16976,0.9227157310794213,2015-11-19,StLouisPost,6,Wisconsin Republicans defend transgender restrictions bill
WallStreetJournal|2209,0.739615918606143,2015-11-14,WallStreetJournal,8,Official: Suspected Paris Assailant Entered EU Through Greece
USAToday|7611,0.7659079956916651,2015-11-16,USAToday,7,"After Paris, Ala. governor refuses to accept Syrian refugees"
DailyNews|14058,0.9785719674030643,2015-11-19,DailyNews,2,Gov. Cuomo: Raise minimum wage to $15/hour for $2B tax cut
WallStreetJournal|2260,0.6686768605568194,2015-11-17,WallStreetJournal,8,Paris Attacks Overshadow Asian Summit as Obama Visits Philippines
USAToday|7739,0.7366583104318758,2015-11-17,USAToday,7,State Department: Shelter for Syrian refugees is the right thing to do
StLouisPost|17149,0.8866139754345832,2015-11-20,StLouisPost,6,Maryland officials complain of shabby Capitol grounds
WashingtonPost|6115,0.8733140487111346,2015-11-19,WashingtonPost,9,A growing number of lawmakers wants Obama to fire the nation's top drug cop
LATimes|19229,0.9459793918938112,2015-11-16,LATimes,3,16 celebratory accents for your holiday party outfits
WallStreetJournal|2237,0.6404115014775416,2015-11-16,WallStreetJournal,8,French Airstrikes in Syria May Have Missed Islamic State
NYTimes|5491,0.6156813906456036,2015-11-20,NYTimes,5,A Guide to Terrorist Attacks in Mali
WallStreetJournal|2330,0.7452173161040783,2015-11-20,WallStreetJournal,8,Turkey Steps Up Its Fight Against Islamic State
DailyNews|13979,0.9502150188082754,2015-11-18,DailyNews,2,NYC could lose $80M in transit funding in spending plan
NYPost|16366,0.8485644328500497,2015-11-20,NYPost,4,Lottery official says $1.2M jackpot linked to fraud
BostonHerald|14996,0.8289933952652142,2015-11-15,BostonHerald,0,Tragedy casts shadow on Iowa showdown
WallStreetJournal|2321,0.6506362912505981,2015-11-19,WallStreetJournal,8,Paris Attacks Shine Light on Europe's Failing Border Policies
StLouisPost|16662,0.8419608590056831,2015-11-17,StLouisPost,6,Louisiana Gov. Bobby Jindal says he is dropping out of 2016 race for president
StLouisPost|16983,0.7986982536373664,2015-11-19,StLouisPost,6,UN committee scolds Iran on human rights record
StLouisPost|16558,0.9164661293081506,2015-11-17,StLouisPost,6,Democrats planning multi-year strategy to recapture seats
WallStreetJournal|2257,0.6004990361043345,2015-11-17,WallStreetJournal,8,Germany Detains Five in Manhunt              For Suspects in Paris Attacks
NYTimes|5329,0.5822182614525416,2015-11-17,NYTimes,5,"After Paris Attacks, a Darker Mood Toward Islam Emerges in France"
ChicagoTribune|5460,0.8684251906153597,2015-11-19,ChicagoTribune,1,United has chosen its new coffee brand
NYPost|16146,0.8217796938081465,2015-11-19,NYPost,4,Most Americans want to keep Syrian refugees out of the country
StLouisPost|16650,0.7879622625445858,2015-11-17,StLouisPost,6,US lawmaker reports 'heated exchanges' with China on Tibet
WashingtonPost|5836,0.7045989633200812,2015-11-15,WashingtonPost,9,"After Paris attacks, 2016 candidates debate the use of U.S. military power"
NYPost|15948,0.8211222493500367,2015-11-18,NYPost,4,"Both Obama, GOP sound ridiculous discussing ISIS"
LATimes|19481,0.9413914800633358,2015-11-17,LATimes,3,Hillary Clinton wins major endorsement from service workers' union
WallStreetJournal|2305,0.7699379023733829,2015-11-19,WallStreetJournal,8,Suu Kyi Talks Raise Hopes for Smooth Transition in Myanmar
NYPost|16024,0.8574353083428046,2015-11-18,NYPost,4,"US just behind Saudi Arabia, Syria, Iraq in ISIS supporters on Twitter"
NYPost|16362,0.8936461404674153,2015-11-20,NYPost,4,New doc has Hillary Clinton reflecting on progress for women’s rights
USAToday|7578,0.9443114799549338,2015-11-15,USAToday,7,By the numbers: The second Democratic debate
USAToday|7541,0.6448103848177533,2015-11-14,USAToday,7,Obama meets with National Security Council on Paris attacks
USAToday|7759,0.71948353788066,2015-11-18,USAToday,7,"Critics of Syrian refugees are 'scared of widows and orphans,' Obama says"
StLouisPost|16325,0.8654608743009109,2015-11-15,StLouisPost,6,"Disagreements threaten uneasy truce between tribes, Maine"
StLouisPost|16872,0.8929157167480575,2015-11-19,StLouisPost,6,Legal experts urge caution as tribes enter pot business
BostonHerald|14906,0.8786135657045453,2015-11-14,BostonHerald,0,Donald Trump&#039;s &#039;SNL&#039; hosting gig triggers equal time request from George Pataki
BostonHerald|15209,0.7422840615406752,2015-11-16,BostonHerald,0,Syrian refugee policy takes focus in US 2016 politics
StLouisPost|16390,0.6841173338755672,2015-11-16,StLouisPost,6,World leaders pressed for response to Paris attacks
DailyNews|13677,0.6848424306538395,2015-11-15,DailyNews,2,"After Paris attacks, Jeb wants 'war,' Graham warns of '9/11'"
StLouisPost|16412,0.7010574638538446,2015-11-16,StLouisPost,6,Obama says US is not underestimating Islamic State group
NYTimes|5308,0.6195085813422093,2015-11-16,NYTimes,5,"One Paris Attacker Entered Europe in Wave of Migrants, Officials Confirm"
NYTimes|5454,0.8821134678073665,2015-11-19,NYTimes,5,House Votes to Suspend Syrian Influx
StLouisPost|16935,0.9355889255168385,2015-11-19,StLouisPost,6,Homelessness drops 2 percent in US since last year
NYTimes|5252,0.8457684874434637,2015-11-15,NYTimes,5,Democratic Debate Has an Unplanned Theme: Terrorism
LATimes|19409,0.9623959275857928,2015-11-17,LATimes,3,CalPERS may lower its return target; taxpayers may have to contribute more
WallStreetJournal|2235,0.6548371247176895,2015-11-16,WallStreetJournal,8,Asia Heightens Security Following Paris Attacks
USAToday|7576,0.9357974515562169,2015-11-14,USAToday,7,Bernie Sanders is 'still sick and tired' of Clinton's emails
WallStreetJournal|2211,0.6656226662257804,2015-11-15,WallStreetJournal,8,EU Leaders Seek Coordination Against ISIS
StLouisPost|16436,0.9271718088090734,2015-11-16,StLouisPost,6,Delaware panel approves $10.5M in grants to JPMorgan
DailyNews|14124,0.7790371861089758,2015-11-19,DailyNews,2,House passes bill making it tougher to let in refugees
StLouisPost|17080,0.7152739539696674,2015-11-20,StLouisPost,6,The Latest: French forces helping secure Mali hotel
StLouisPost|17147,0.8988539188520562,2015-11-20,StLouisPost,6,Maryland officials complain of shabby Capitol grounds
NYTimes|5262,0.6634486253465319,2015-11-14,NYTimes,5,Attacker’s Possible Link to Migrant Trail Heightens Security Fears
WashingtonPost|5844,0.5925132644737109,2015-11-15,WashingtonPost,9,"What was behind ISIS’s attack on Paris, according to experts"
NYTimes|5303,0.6906621477529231,2015-11-16,NYTimes,5,Watch</span>: Grief Interrupted in Paris
BostonHerald|15137,0.9239109139366638,2015-11-16,BostonHerald,0,Editorials: Racing to the bottom
WallStreetJournal|2269,0.7374583249993026,2015-11-17,WallStreetJournal,8,Global Anti-ISIS Alliance Begins to Emerge
USAToday|7536,0.6014708894691527,2015-11-14,USAToday,7,World leaders react to Paris terror attacks
NYTimes|5445,0.9477340053037286,2015-11-19,NYTimes,5,Road to 2016: The G.O.P. Establishment Has a Big New Hampshire Problem
USAToday|7848,0.7046090222400107,2015-11-19,USAToday,7,U.N. appeals to U.S. to take in Syrian refugees as example for world
WashingtonPost|6054,0.8306686750687325,2015-11-19,WashingtonPost,9,"GOP governors push back against Obama, seek halt to refugee flow"
LATimes|19776,0.924198932510206,2015-11-19,LATimes,3,California vintner John Jordan wants to shape politics -- on his terms
NYTimes|5288,0.5908841694981719,2015-11-16,NYTimes,5,Inquiry Finds Mounting Proof of Syria Link to Paris Attacks
StLouisPost|16987,0.9209218381915246,2015-11-19,StLouisPost,6,More Mexican immigrants leaving U.S. than entering
StLouisPost|16706,0.7874149603300356,2015-11-18,StLouisPost,6,Republicans clash over refugees as 2016 looms
USAToday|7710,0.949576231443313,2015-11-17,USAToday,7,"Clinton and Sanders' teams tangle over health care, middle class"
USAToday|7852,0.7326864093807692,2015-11-19,USAToday,7,"House passes bill to block Syrian refugees, require more vetting"
NYPost|16343,0.7002153066634642,2015-11-20,NYPost,4,Obama’s anti-ISIS theater of the absurd
WashingtonPost|6118,0.7678521802822541,2015-11-19,WashingtonPost,9,Mixed reception for arriving Syrian refugees as political outcry continues
StLouisPost|16534,0.7231634134111713,2015-11-17,StLouisPost,6,US says it destroyed 116 Islamic State fuel trucks
USAToday|7613,0.9228612196230606,2015-11-16,USAToday,7,For the Record: Summarizing the unwatched debate
LATimes|20105,0.9093178090044656,2015-11-20,LATimes,3,Can Canada show us how to fix income inequality? A talk with Chrystia Freeland
StLouisPost|16785,0.6995459315543522,2015-11-18,StLouisPost,6,"Despite heavy US airstrikes, IS threat persists"
DailyNews|13727,0.7893300952060878,2015-11-15,DailyNews,2,"Minn. House candidate defends ISIS, then drops campaign"
WashingtonPost|6055,0.9190582181138024,2015-11-19,WashingtonPost,9,"Is homelessness among U.S. kids declining, or surging? It depends on who you ask."
LATimes|19140,0.94936215566891,2015-11-15,LATimes,3,Fear (or its absence) are driving the GOP and Democratic presidential campaigns
WallStreetJournal|2281,0.7847096404741327,2015-11-18,WallStreetJournal,8,Global Leaders Talk Security Ahead of Economic Summit
DailyNews|14009,0.944577536939592,2015-11-18,DailyNews,2,Muslim woman defends wearing of American flag as hijab
StLouisPost|16533,0.7482673559940575,2015-11-17,StLouisPost,6,Obama says Australian prime minister to visit Washington
WashingtonPost|6124,0.9199398521152534,2015-11-20,WashingtonPost,9,Is an upcoming Supreme Court case a strike for individual rights or a deceptive attack on teachers unions?
USAToday|7881,0.9417440051589719,2015-11-19,USAToday,7,"6 things to watch for at GOP faith, family event"
BostonHerald|15114,0.8978399577619105,2015-11-15,BostonHerald,0,"Amid student protests, some see erosion of free speech"
StLouisPost|16745,0.9541577558329098,2015-11-18,StLouisPost,6,House panel approves bill to overhaul sentencing laws
BostonHerald|15228,0.7237316824004086,2015-11-16,BostonHerald,0,US says it destroyed 116 Islamic State fuel trucks
LATimes|19134,0.6506330432392002,2015-11-15,LATimes,3,President Obama faces difficult choices in response to Paris terror attacks
NYTimes|5420,0.6815207579028816,2015-11-19,NYTimes,5,"News Analysis: For France, an Alliance Against ISIS May Be Easier Said Than Done"
BostonHerald|15207,0.8588064702562809,2015-11-16,BostonHerald,0,"Some governors halt, question plan to accept Syrian refugees"
StLouisPost|16992,0.9473275631476451,2015-11-19,StLouisPost,6,Fed appeals court won't stop Hawaiian election vote count
NYPost|15704,0.7182309392224301,2015-11-16,NYPost,4,Francois Hollande is making Obama look like a fool
NYTimes|5373,0.6319402482396923,2015-11-17,NYTimes,5,"Your Tuesday Evening Briefing: Paris, Charlie Sheen, Refugees"
BostonHerald|15595,0.7673086275789666,2015-11-19,BostonHerald,0,"With Islamic State targeted, what happens to Syria&#039;s Assad?"
BostonHerald|15063,0.6958493816323508,2015-11-15,BostonHerald,0,"The Latest: German official: Don&#039;t link terrorism, refugees"
WashingtonPost|5970,0.901465867641965,2015-11-17,WashingtonPost,9,House Oversight chairman questions Secret Service's hunt for whistleblowers
BostonHerald|15717,0.8956119409363655,2015-11-20,BostonHerald,0,GOP candidates disavow Trump&#039;s call for Muslim database
DailyNews|13589,0.9483992550326128,2015-11-14,DailyNews,2,Republicans more optimistic during 2016 presidential race
DailyNews|13901,0.829162903815682,2015-11-17,DailyNews,2,Cuomo: Keeping out refugees would defeat 'American Dream'
ChicagoTribune|5244,0.8974657149434291,2015-11-14,ChicagoTribune,1,Ben Carson: Terri Schiavo case was 'much ado about nothing'
BostonHerald|15128,0.5817948585541204,2015-11-16,BostonHerald,0,Prez feels heat as French assault ISIS
NYTimes|5225,0.9009350576696067,2015-11-14,NYTimes,5,Some See Attacks by Donald Trump as Start of His Downfall
BostonHerald|15206,0.7532678586472528,2015-11-16,BostonHerald,0,Russian track stars call suspension unfair
StLouisPost|16526,0.7527101353739643,2015-11-17,StLouisPost,6,Republican lawmakers take aim at Syrian refugee plan
NYTimes|5265,0.521085312258723,2015-11-15,NYTimes,5,2 Suspects Identified as Paris Attack Investigation Widens
USAToday|7557,0.7066799282177185,2015-11-14,USAToday,7,Republican 2016 candidates: Paris attacks sharpen national security issue
USAToday|7763,0.8819367555922267,2015-11-18,USAToday,7,Sen. Bernie Sanders to explain his embrace of democratic socialism
WallStreetJournal|2277,0.7619283498995056,2015-11-17,WallStreetJournal,8,China Advances Global Nuclear Ambitions With Argentina Deal
LATimes|19305,0.8964485102236632,2015-11-16,LATimes,3,"Sacramento County sheriff launches bid for Congress, slams Obama immigration efforts"
WallStreetJournal|2301,0.7602423520422696,2015-11-19,WallStreetJournal,8,Post-Paris Politics Will Decide Europe's Economic Fate
USAToday|7825,0.7266771888593695,2015-11-19,USAToday,7,Hillary Clinton to detail plan for combatting 'radical Jihadism'
LATimes|20039,0.9315595486150772,2015-11-20,LATimes,3,Obama administration asks Supreme Court to reverse order blocking president's immigration plan
DailyNews|14070,0.9199206402864922,2015-11-19,DailyNews,2,Ex-state Assembly candidate in elex cash bust
NYPost|15637,0.6539956849393559,2015-11-15,NYPost,4,7 detained in Belgium in connection to Paris attacks
LATimes|19786,0.7881296068245122,2015-11-19,LATimes,3,"In Myanmar, Aung San Suu Kyi faces postelection test"
StLouisPost|16770,0.8217373818029015,2015-11-18,StLouisPost,6,Tennessee GOP leader wants Guard to round up Syrian refugees
WallStreetJournal|2309,0.873663496359469,2015-11-19,WallStreetJournal,8,South Africa Raises Interest Rates to Protect Currency
NYTimes|5334,0.8329243751339103,2015-11-17,NYTimes,5,G.O.P. Governors Vow to Close Doors to Syrian Refugees
DailyNews|14189,0.8803496454745915,2015-11-20,DailyNews,2,Donald Trump supports creating database of U.S. Muslims
WallStreetJournal|2242,0.6689492002380939,2015-11-16,WallStreetJournal,8,Germany Rethinks Military Action After Paris Attacks
WallStreetJournal|2232,0.6322409734604402,2015-11-16,WallStreetJournal,8,French Authorities Raid Suspected Islamists
LATimes|19145,0.699308596213973,2015-11-15,LATimes,3,Investigators find new clues to identity of Paris attackers
LATimes|19703,0.775677944090644,2015-11-18,LATimes,3,"Virginia mayor opposes Syrian refugees, citing WWII internment of Japanese Americans"
DailyNews|14202,0.9697685665813812,2015-11-20,DailyNews,2,Bad idea to remove metal detectors from NYC schools: group
NYTimes|5428,0.533649849097361,2015-11-19,NYTimes,5,U.S. Investigators Struggle to Track Homegrown ISIS Suspects
LATimes|19087,0.6789710578447399,2015-11-14,LATimes,3,"After Paris terrorist attacks, migrants face suspicion and new barriers"
LATimes|19167,0.5445558920766879,2015-11-15,LATimes,3,Why Islamic State targeted France instead of the U.S.
NYTimes|5348,0.6910630215297617,2015-11-17,NYTimes,5,Russia Confirms Bomb Brought Down Plane in Egypt
NYTimes|5240,0.9572230305475666,2015-11-14,NYTimes,5,Marco Rubio’s History on Immigration Leaves Conservatives Distrustful of Shift
StLouisPost|16472,0.7036628058276087,2015-11-16,StLouisPost,6,UN: Islamic State-linked fighters gaining ground in Libya
WallStreetJournal|2294,0.7403339363007686,2015-11-18,WallStreetJournal,8,U.S. Eyes Russia-Iran Split in Bid to End Syria Conflict
USAToday|7856,0.8003724839610994,2015-11-19,USAToday,7,McCain questions Trump's qualifications as commander in chief
NYTimes|5302,0.6806256890951354,2015-11-16,NYTimes,5,U.S. Warplanes Strike ISIS Oil Trucks in Syria
WallStreetJournal|2203,0.7140296501339548,2015-11-14,WallStreetJournal,8,Paris Attacks Add New Urgency to International Summit
StLouisPost|16807,0.7411044480965868,2015-11-18,StLouisPost,6,Roanoke mayor asks to suspend relocating of Syrian refugees
WashingtonPost|6064,0.8685770577230957,2015-11-19,WashingtonPost,9,It’s on: Rubio and Cruz clash over immigration and the GOP’s future
ChicagoTribune|5258,0.8234527934737865,2015-11-14,ChicagoTribune,1,Bernie Sanders has most to prove as Democrats gather for 2nd debate
DailyNews|13762,0.9557757453649139,2015-11-16,DailyNews,2,Iowa Rep. Steve King backs Cruz for president
WashingtonPost|5919,0.8541636616717174,2015-11-16,WashingtonPost,9,"ULA bows out of Pentagon launch competition, paving way for SpaceX"
NYTimes|5431,0.7760282428981479,2015-11-19,NYTimes,5,"First Draft: Amid Republican Calls for Force, Hillary Clinton Will Present Her Plan to Battle ISIS"
ChicagoTribune|5378,0.9681290711813225,2015-11-17,ChicagoTribune,1,Louisiana Gov. Bobby Jindal suspends presidential campaign
LATimes|19539,0.9472219247564766,2015-11-17,LATimes,3,"Former Assembly leader urges dialogue, caution at California colleges"
StLouisPost|16887,0.8879071421926091,2015-11-19,StLouisPost,6,Quotations in the News
WallStreetJournal|2202,0.702374140473958,2015-11-14,WallStreetJournal,8,Kurds Say They Repelled Islamic State Attack in Iraq
USAToday|7573,0.9615250487073125,2015-11-14,USAToday,7,Sanders: I'm not as much of a socialist as Ike
StLouisPost|17114,0.6636693616807154,2015-11-20,StLouisPost,6,"Virginia mayor apologizes for refugee, detention comments"
NYPost|15764,0.6571757783842342,2015-11-16,NYPost,4,Obama: Ground troops against ISIS would be a mistake
LATimes|19418,0.9775856597445145,2015-11-17,LATimes,3,L.A. Unified explores possibility of becoming an all-charter district
USAToday|7631,0.5825859563315622,2015-11-16,USAToday,7,Islamic State video vows more attacks on West
WallStreetJournal|2334,0.836759290451308,2015-11-20,WallStreetJournal,8,"Cubans Say 'Nyet' to Russian, Scramble to Learn English"
NYTimes|5291,0.7760642100987053,2015-11-16,NYTimes,5,Tensions in Iran After Nuclear Deal Grow in Hostility
DailyNews|14121,0.8954079461790805,2015-11-19,DailyNews,2,Clinton 'very grateful' to see de Blasio at Manhattan event
StLouisPost|17083,0.9496669779146467,2015-11-20,StLouisPost,6,New indictment renews charges against ex-Ron Paul aides
NYPost|16124,0.8782701323337371,2015-11-19,NYPost,4,FTC reviewing Staples’ $6B Office Depot deal
StLouisPost|16753,0.8737209585719671,2015-11-18,StLouisPost,6,Keystone XL developer withdraws Nebraska route application
StLouisPost|16963,0.9198060402282977,2015-11-19,StLouisPost,6,Oklahoma governor seeks end of Planned Parenthood contracts
DailyNews|14039,0.8143015717395073,2015-11-18,DailyNews,2,Va. mayor wants WWII internment policy for Syrian migrants
StLouisPost|16606,0.9702015116463673,2015-11-17,StLouisPost,6,Yellen opposes GOP proposal to boost Fed oversight
WashingtonPost|5865,0.6300186145754677,2015-11-16,WashingtonPost,9,Obama and Putin meet for talks in aftermath of Paris attacks
WashingtonPost|6113,0.9451944210156594,2015-11-19,WashingtonPost,9,Bernie Sanders is right: The top 0.1 percent have as much as the bottom 90 percent
WashingtonPost|6005,0.7282734217713482,2015-11-18,WashingtonPost,9,Officials seizing the moment of Paris attacks to rekindle encryption debate
StLouisPost|16528,0.6385428731165764,2015-11-17,StLouisPost,6,Kerry in Paris to consult with French leaders on attack
USAToday|7769,0.8076669639902644,2015-11-18,USAToday,7,Syrian family of 9 is grateful to escape violence
LATimes|19606,0.7795866530726998,2015-11-18,LATimes,3,Overheated rhetoric won't solve the Syrian refugee issue
StLouisPost|16484,0.7926414401127516,2015-11-16,StLouisPost,6,Here we go again: Paris attacks may renew encryption debate
DailyNews|13817,0.6450556700582182,2015-11-17,DailyNews,2,French airstrikes continue at ISIS sites in Syria: report
NYTimes|5282,0.8488436615009687,2015-11-16,NYTimes,5,First Draft: Hillary Clinton Takes a More Defined Stance on ISIS
WashingtonPost|5879,0.8736387399033249,2015-11-16,WashingtonPost,9,Second largest for-profit chain to pay $95 million to settle fraud charges
StLouisPost|17075,0.773506383599073,2015-11-20,StLouisPost,6,CNN reporter suspended for opinionated tweet
WashingtonPost|5929,0.9344800425695925,2015-11-17,WashingtonPost,9,Concrete victories won by the anti-testing movement (so far)
LATimes|19407,0.890537071582997,2015-11-17,LATimes,3,"In Venezuela, students and faculty caught in budget-driven university closures"
DailyNews|13596,0.8662767173993686,2015-11-14,DailyNews,2,NY state controller heads to Israel on pension business
LATimes|19403,0.7204434398799351,2015-11-17,LATimes,3,"In Afghanistan, public confidence in the future reaches a new low"
WallStreetJournal|2238,0.6568630506631057,2015-11-16,WallStreetJournal,8,Obama Says U.S. Is Intensifying Strategy Against Islamic State
StLouisPost|16263,0.7838313455947336,2015-11-14,StLouisPost,6,The Latest: Santorum uses Paris attacks to criticize Clinton
LATimes|19584,0.8766877891097279,2015-11-18,LATimes,3,Essential Politics: Obama warns against 'hysteria' as Congress examines refugee program
StLouisPost|16834,0.9161360044427288,2015-11-18,StLouisPost,6,NYC announces $2.6 billion investment to fight homelessness
StLouisPost|16304,0.9488953824717963,2015-11-15,StLouisPost,6,Clinton's mixing of 9/11 and Wall Street raises ire
USAToday|7676,0.8876242102993538,2015-11-17,USAToday,7,For the Record: Let's be unfriends
WashingtonPost|6066,0.9407524720512529,2015-11-19,WashingtonPost,9,Report: Time spent on standardized testing in schools is underestimated
USAToday|7729,0.7662496894390992,2015-11-17,USAToday,7,Carson adviser offers harsh assessment of GOP hopeful's foreign policy understanding
NYTimes|5449,0.7064650613230805,2015-11-19,NYTimes,5,Hillary Clinton Urges No-Fly Zone and More Airstrikes to Defeat ISIS
WashingtonPost|5822,0.6075262931911416,2015-11-14,WashingtonPost,9,The Paris attacks combined more than a decade of terrorist tactics into one night
WallStreetJournal|2246,0.7104587756536722,2015-11-16,WallStreetJournal,8,Senior Venezuela Official Calls Arrest of Maduro Relatives a 'Kidnapping'
LATimes|19657,0.9063854508397169,2015-11-18,LATimes,3,"Obama's in Asia with Pacific trade partners, but the pact depends on his sales job back home"
NYPost|15648,0.6387371824817537,2015-11-15,NYPost,4,Iraq warned of ISIS threat one day before Paris attacks
LATimes|20093,0.9498052806006757,2015-11-20,LATimes,3,"Datebook: Taking on Jackie Kennedy, videos of animal life, the trials of Joan of Arc"
NYPost|16180,0.816886125811913,2015-11-19,NYPost,4,Obama and Trudeau have a budding bromance
LATimes|20063,0.7327512212712887,2015-11-20,LATimes,3,Olympic leader calls for sweeping changes in fight against doping
StLouisPost|16722,0.7529968969510717,2015-11-18,StLouisPost,6,"Narrowing rift, US and Russia entertain cooperation in Syria"
USAToday|7635,0.9625349930819257,2015-11-16,USAToday,7,Rubio mocks Clinton’s ‘I come from the '60s’ line
StLouisPost|17088,0.9292692520494579,2015-11-20,StLouisPost,6,Rubio and Cruz compete for Iowa evangelicals
NYTimes|5406,0.7266891786193957,2015-11-18,NYTimes,5,Join the Debate: How Should We Balance Civil Liberties and National Security?
